Trace ID,Residence Time (sec)
Set 1
      T265,3.2324e-01
      T266,3.2751e-01
      T267,3.3536e-01
      T268,3.4087e-01
      T269,3.4872e-01
      T270,3.5817e-01
      T271,3.5800e-01
      T272,3.5223e-01
      T273,3.4262e-01
      T274,3.3197e-01
      T275,3.2794e-01
      T276,3.2678e-01
      T277,3.2502e-01
      T278,3.2740e-01
      T279,3.3011e-01
      T280,3.3537e-01
      T281,3.4065e-01
      T282,3.4767e-01
      T283,3.6089e-01
      T284,3.7629e-01
      T285,4.2474e-01
      T286,3.8449e-01
      T287,3.6286e-01
      T288,3.5224e-01
      T289,3.4070e-01
      T290,3.3369e-01
      T291,3.2837e-01
      T292,3.2548e-01
      T293,3.2234e-01
      T294,3.2116e-01
      T295,3.2198e-01
      T296,3.2359e-01
      T297,3.3120e-01
      T298,3.4238e-01
      T299,3.5032e-01
      T300,3.5668e-01
      T301,3.5902e-01
      T302,3.5097e-01
      T303,3.3434e-01
      T304,3.2782e-01
      T305,3.2568e-01
      T306,3.2399e-01
      T307,3.2173e-01
      T308,3.2156e-01
      T309,3.2340e-01
      T310,3.2922e-01
      T311,3.3614e-01
      T312,3.4011e-01
      T313,3.5257e-01
      T314,3.6264e-01
      T315,3.9790e-01
      T316,3.7464e-01
      T317,3.5463e-01
      T318,3.4240e-01
      T319,3.3419e-01
      T320,3.2949e-01
      T321,3.2350e-01
      T322,3.1760e-01
      T323,3.1693e-01
      T324,3.1778e-01
      T325,3.1968e-01
      T326,3.2103e-01
      T327,3.2497e-01
      T328,3.3636e-01
      T329,3.5092e-01
      T330,3.5727e-01
      T331,3.5721e-01
      T332,3.4321e-01
      T333,3.3085e-01
      T334,3.2648e-01
      T335,3.2339e-01
      T336,3.2070e-01
      T337,3.1837e-01
      T338,3.1911e-01
      T339,3.1990e-01
      T340,3.2447e-01
      T341,3.2928e-01
      T342,3.3513e-01
      T343,3.4317e-01
      T344,3.5171e-01
      T345,3.7650e-01
      T346,3.5644e-01
      T347,3.4303e-01
      T348,3.3508e-01
      T349,3.2771e-01
      T350,3.2351e-01
      T351,3.1794e-01
      T352,3.1561e-01
      T353,3.1375e-01
      T354,3.1325e-01
      T355,3.1593e-01
      T356,3.1882e-01
      T357,3.2232e-01
      T358,3.2688e-01
      T359,3.4304e-01
      T360,3.5517e-01
      T361,3.5346e-01
      T362,3.4012e-01
      T363,3.3136e-01
      T364,3.2686e-01
      T365,3.2041e-01
      T366,3.1690e-01
      T367,3.1565e-01
      T368,3.1829e-01
      T369,3.1789e-01
      T370,3.1966e-01
      T371,3.2326e-01
      T372,3.2960e-01
      T373,3.3711e-01
      T374,3.4438e-01
      T375,3.5409e-01
      T376,3.4525e-01
      T377,3.3584e-01
      T378,3.2921e-01
      T379,3.2148e-01
      T380,3.1753e-01
      T381,3.1506e-01
      T382,3.1314e-01
      T383,3.1266e-01
      T384,3.1125e-01
      T385,3.1370e-01
      T386,3.1792e-01
      T387,3.2321e-01
      T388,3.2562e-01
      T389,3.3682e-01
      T390,3.5217e-01
      T391,3.5036e-01
      T392,3.4165e-01
      T393,3.3424e-01
      T394,3.2540e-01
      T395,3.1729e-01
      T396,3.1456e-01
      T397,3.1322e-01
      T398,3.1529e-01
      T399,3.1509e-01
      T400,3.1622e-01
      T401,3.1923e-01
      T402,3.2268e-01
      T403,3.2862e-01
      T404,3.2988e-01
      T405,3.3276e-01
      T406,3.3028e-01
      T407,3.2542e-01
      T408,3.2095e-01
      T409,3.1533e-01
      T410,3.1357e-01
      T411,3.0963e-01
      T412,3.0916e-01
      T413,3.0973e-01
      T414,3.0871e-01
      T415,3.1045e-01
      T416,3.1477e-01
      T417,3.2211e-01
      T418,3.2767e-01
      T419,3.3779e-01
      T420,3.5047e-01
      T421,3.5155e-01
      T422,3.4509e-01
      T423,3.3378e-01
      T424,3.2183e-01
      T425,3.1670e-01
      T426,3.1482e-01
      T427,3.1243e-01
      T428,3.1251e-01
      T429,3.1170e-01
      T430,3.1530e-01
      T431,3.1728e-01
      T432,3.1700e-01
      T433,3.2029e-01
      T434,3.2124e-01
      T435,3.2405e-01
      T436,3.2177e-01
      T437,3.1669e-01
      T438,3.1383e-01
      T439,3.1217e-01
      T440,3.1238e-01
      T441,3.0809e-01
      T442,3.0681e-01
      T443,3.0738e-01
      T444,3.0756e-01
      T445,3.0992e-01
      T446,3.1205e-01
      T447,3.1844e-01
      T448,3.2814e-01
      T449,3.4033e-01
      T450,3.5011e-01
      T451,3.5041e-01
      T452,3.4196e-01
      T453,3.2749e-01
      T454,3.2031e-01
      T455,3.1653e-01
      T456,3.1509e-01
      T457,3.1138e-01
      T458,3.0987e-01
      T459,3.0960e-01
      T460,3.1145e-01
      T461,3.1205e-01
      T462,3.1226e-01
      T463,3.1203e-01
      T464,3.1518e-01
      T465,3.1600e-01
      T466,3.1480e-01
      T467,3.1045e-01
      T468,3.0924e-01
      T469,3.0828e-01
      T470,3.0722e-01
      T471,3.0492e-01
      T472,3.0422e-01
      T473,3.0522e-01
      T474,3.0744e-01
      T475,3.1051e-01
      T476,3.1134e-01
      T477,3.1672e-01
      T478,3.2551e-01
      T479,3.4228e-01
      T480,3.5021e-01
      T481,3.4931e-01
      T482,3.3553e-01
      T483,3.2451e-01
      T484,3.2011e-01
      T485,3.1621e-01
      T486,3.1283e-01
      T487,3.1008e-01
      T488,3.0895e-01
      T489,3.0805e-01
      T490,3.0911e-01
      T491,3.0951e-01
      T492,3.0914e-01
      T493,3.1002e-01
      T494,3.1005e-01
